C,1,"Usando la directiva define, declara una constante para el máximo de un nombre ""MAX_NOMBRE"" con el valor entero 20","#define MAX_NOMBRE 20",""
Pseudocode,1,"Declara una constante para el máximo de drones ""MAX_DRONES"" con el valor entero 20","const
    MAX_DRONES: integer = 20;
end const",""
C,1,"Declara una constante local de tipo decimal para la distancia mínima ""DISTANCIA_MINIMA"", asignale el valor 250.0","const float DISTANCIA_MINIMA = 250.0;","Las constantes locales comienzan por const"
Pseudocode,1,"Declara una constante de tipo decimal para la distancia mínima ""DISTANCIA_MINIMA"", asignale el valor 250.0","const
    DISTANCIA_MINIMA: real = 250.0;
end const","No olvides las palabras reservadas const end const y ;"
C,1,"Declara una cadena de caracteres llamada nombreDron con tamaño 20.","char nombreDron[20];",""
Pseudocode,1,"Declara una variable de tipo string llamada nombreDron.","var
    nombreDron: string;
end var","Recuerda las palabras reservadas var end var"
C,1,"Declara una cadena de caracteres llamada nombreDron con tamaño 20, pero esta vez utiliza la constante ""MAX_NOMBRE"".","char nombreDron[MAX_NOMBRE];",""
C,1,"Declara una variable llamada distanciaMinima e inicializala con la constante ""DISTANCIA_MINIMA""","float distanciaMinima = DISTANCIA_MINIMA;",""
Pseudocode,1,"Declara una variable llamada distanciaMinima e inicializala con la constante ""DISTANCIA_MINIMA""","var distanciaMinima: real; end var distanciaMinima:= DISTANCIA_MINIMA;","Aqui es importante recordar que en pseudocodigo no es posible declarar e inicializar a la vez, primero declara y luego asignale el valor, no olvides las palabras reservadas var end var."
C,1,"Declara una variable entera para almacenar el identificador del dron, llamala idDron.","int idDron;",""
Pseudocode,1,"Declara una variable entera para almacenar el identificador del dron, llamala idDron.","var idDron: integer; end var",""
C,1,"Inicializa la variable idDron en -1.","idDron = -1;",""
Pseudocode,1,"Inicializa la variable idDron en -1.","idDron := -1;","El operador de asignación en pseudocódigo es diferente al de C"
C,1,"Declara una variable decimal para la batería inicial del dron, llamala bateriaInicial.","float bateriaInicial;",""
Pseudocode,1,"Declara una variable decimal para la batería inicial del dron, llamala bateriaInicial.","var bateriaInicial: real; end var",""
C,1,"Declara una variable booleana llamada dronActivo e inicialízala a true.","bool dronActivo = true;",""
